memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
16,3004,1000000,10.334258794784546,REC,RandomHashFamily,349.44141145139815,1052726.0,1
32,3004,1000000,1.8496747016906738,REC,SHA-256,0.04360852197070573,3135.0,1
32,3004,1000000,0.6800723075866699,REC,xxHash32,0.2789613848202397,2166.0,1
32,3004,1000000,0.24539804458618164,REC,Python Hash,31.766977363515313,98432.0,1
32,3004,1000000,10.076087951660156,REC,RandomHashFamily,461.1088548601864,1388175.0,1
64,3004,1000000,1.8620538711547852,REC,SHA-256,0.37916111850865514,4143.0,1
64,3004,1000000,0.6289994716644287,REC,xxHash32,0.13415446071904127,2601.0,1
64,3004,1000000,0.2444005012512207,REC,Python Hash,17.092210386151798,54349.0,1
64,3004,1000000,10.03402853012085,REC,RandomHashFamily,483.14813581890814,1454381.0,1
128,3004,1000000,1.9476532936096191,REC,SHA-256,0.1278295605858855,3388.0,1
128,3004,1000000,0.6404714584350586,REC,xxHash32,0.035286284953395475,3110.0,1
128,3004,1000000,0.24587178230285645,REC,Python Hash,6.651797603195739,22986.0,1
128,3004,1000000,10.062953472137451,REC,RandomHashFamily,382.5359520639148,1152142.0,1
256,3004,1000000,1.9059810638427734,REC,SHA-256,0.09487350199733688,3289.0,1
256,3004,1000000,0.652585506439209,REC,xxHash32,0.02596537949400799,2926.0,1
