source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
midsummer-nights-dream,2048,3136,13609,0.05090644359588623,HLL,RandomHashFamily,0.028968534156300803,3045.15467688584,10
quijote,32,23034,264853,1.0951002836227417,HLL,SHA-256,0.11331604691158288,25644.121824561396,10
quijote,32,23034,264853,0.743301510810852,HLL,xxHash32,0.05958177384123518,24406.406578659014,10
quijote,32,23034,264853,0.5784708499908447,HLL,Python Hash,0.19101963024441487,27433.946163049848,10
quijote,32,23034,264853,0.9847869157791138,HLL,RandomHashFamily,0.1614108481718133,20846.954045037797,10
quijote,128,23034,264853,1.0949151039123535,HLL,SHA-256,0.07994746118360607,21192.490179096818,10
quijote,128,23034,264853,0.7418415069580078,HLL,xxHash32,0.0068305529481109736,23191.33495660679,10
quijote,128,23034,264853,0.5843770027160644,HLL,Python Hash,0.07111388116245675,24672.03713869603,10
quijote,128,23034,264853,0.9897403478622436,HLL,RandomHashFamily,0.07297345365229232,23339.8756171319,10
quijote,1024,23034,264853,1.0936436653137207,HLL,SHA-256,0.01722861152842858,23430.843837945828,10
quijote,1024,23034,264853,0.7420138120651245,HLL,xxHash32,0.08063958844763905,21176.547719697086,10
quijote,1024,23034,264853,0.5778094053268432,HLL,Python Hash,0.020093872303184684,22571.15774536844,10
quijote,1024,23034,264853,0.97981116771698,HLL,RandomHashFamily,0.033526924456673386,23041.679664714633,10
quijote,2048,23034,264853,1.0972835779190064,HLL,SHA-256,0.00276582235252512,23097.707952068067,10
quijote,2048,23034,264853,0.7426049947738648,HLL,xxHash32,0.03226803204797308,22290.738149806984,10
quijote,2048,23034,264853,0.5817043304443359,HLL,Python Hash,0.011885172756105582,22760.236930735868,10
quijote,2048,23034,264853,0.9841835021972656,HLL,RandomHashFamily,0.02284179569645016,22895.808164902166,10
valley-fear,32,5829,47064,0.20052554607391357,HLL,SHA-256,0.19907529092824233,6989.409870820726,10
valley-fear,32,5829,47064,0.14702022075653076,HLL,xxHash32,0.22549047277253065,7143.383965791081,10
valley-fear,32,5829,47064,0.10556347370147705,HLL,Python Hash,0.011394404864539784,5762.5820140445985,10
valley-fear,32,5829,47064,0.17999649047851562,HLL,RandomHashFamily,0.14647846162949046,5905.92263631881,10
valley-fear,128,5829,47064,0.2014371156692505,HLL,SHA-256,0.06446148514766337,5453.254003074269,10
valley-fear,128,5829,47064,0.1282761812210083,HLL,xxHash32,0.31479000680928815,7663.9109496913425,10
valley-fear,128,5829,47064,0.10159718990325928,HLL,Python Hash,0.09778902160765525,6399.0122069510235,10
valley-fear,128,5829,47064,0.1686694383621216,HLL,RandomHashFamily,0.0637018894600071,5741.253518588,10
valley-fear,1024,5829,47064,0.18940603733062744,HLL,SHA-256,0.04642039163176969,6099.5844628215855,10
valley-fear,1024,5829,47064,0.1291270971298218,HLL,xxHash32,0.014435534853916274,5913.144732663479,10
valley-fear,1024,5829,47064,0.1018876314163208,HLL,Python Hash,0.029000620469386736,5998.044616716055,10
valley-fear,1024,5829,47064,0.168670916557312,HLL,RandomHashFamily,0.02169330462177234,5847.858749732624,10
valley-fear,2048,5829,47064,0.18781697750091553,HLL,SHA-256,0.00099728169270955,5834.813154986804,10
valley-fear,2048,5829,47064,0.12821598052978517,HLL,xxHash32,0.04598689466335733,6097.057608992711,10
valley-fear,2048,5829,47064,0.10151503086090088,HLL,Python Hash,0.007904630677886337,5875.0760922213985,10
valley-fear,2048,5829,47064,0.17436435222625732,HLL,RandomHashFamily,0.0176809921131309,5932.062503027439,10
war-peace,32,17475,458701,1.8883038282394409,HLL,SHA-256,0.14435419057970852,14952.410519619592,10
war-peace,32,17475,458701,1.2939010381698608,HLL,xxHash32,0.17549430607154054,20541.76299860017,10
war-peace,32,17475,458701,0.996602201461792,HLL,Python Hash,0.103892198420145,15659.483832607966,10
war-peace,32,17475,458701,1.693683099746704,HLL,RandomHashFamily,0.23395999213632374,20603.67231929696,10
war-peace,128,17475,458701,1.8386788368225098,HLL,SHA-256,0.047405688143444154,18303.414400306683,10
war-peace,128,17475,458701,1.2565400362014771,HLL,xxHash32,0.08524617850333831,15985.323030654163,10
war-peace,128,17475,458701,0.9970810890197754,HLL,Python Hash,0.015006958337906478,17212.753403045088,10
war-peace,128,17475,458701,1.6631999254226684,HLL,RandomHashFamily,0.08238514108838528,17442.265221331043,10
war-peace,1024,17475,458701,1.8333969831466674,HLL,SHA-256,0.0064272488647501794,17362.683826088494,10
war-peace,1024,17475,458701,1.2597000360488892,HLL,xxHash32,0.007504621271325852,17606.143256716423,10
war-peace,1024,17475,458701,0.9791033267974854,HLL,Python Hash,0.02747856230062142,16994.81212379664,10
war-peace,1024,17475,458701,1.6711970567703247,HLL,RandomHashFamily,0.022242300360350936,17608.494723896973,10
war-peace,2048,17475,458701,1.8242016792297364,HLL,SHA-256,0.008180591808093659,17332.04415815356,10
war-peace,2048,17475,458701,1.253700351715088,HLL,xxHash32,0.005737073193743712,17575.25535406067,10
war-peace,2048,17475,458701,0.971500039100647,HLL,Python Hash,0.028723873578327848,16973.050309218725,10
war-peace,2048,17475,458701,1.6620996713638305,HLL,RandomHashFamily,0.01621519894391125,17560.603940179164,10
